_id,DishImage,DishName,Calories,Protein,Carbohydrates,Fat,Fiber,Sodium,Iron,Calcium,Sugar,__v,QuantityRequired,nutritionId,selected,type,time
680534f0d035d501d3d0fb1b,https://drive.google.com/uc?id=1ilaZMhN0ZzTXfzb5fvWXitRmLqCkQf-_,Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),291.43,9.53,0,0,0,0,0,0,0,0,100 g,27,,,
680534f0d035d501d3d0fb1c,https://drive.google.com/uc?id=10yenUnbYMMdrIq-N4rb9lZNPuxFay3Gr,Rainbow sandwich,272.75,7.75,0,0,0,0,0,0,0,0,100 g,28,,,
680534f0d035d501d3d0fb1d,https://drive.google.com/uc?id=1Voz3LpCk8w0iu1d9vnmBSzK--23FQqRq,Club sandwich,235.32,7.31,0,0,0,0,0,0,0,0,100 g,29,,,
680534f0d035d501d3d0fb1e,https://drive.google.com/uc?id=1meXM81ZA8FYE9Duabb6PNqM2ZUp5wisE,Vegetarian club sandwich,198.33,5.45,0,0,0,0,0,0,0,0,100 g,30,,,
680534f0d035d501d3d0fb1f,https://drive.google.com/uc?id=1TYT_0AJHc4N0KSii62V1s-PBqSFMBME6,Pin wheel sandwich,311.52,8.77,0,0,0,0,0,0,0,0,100 g,31,,,
680534f0d035d501d3d0fb20,https://drive.google.com/uc?id=1H4zFy3Sdep56mFCR_KY8i69iRb-LA9Ly,Carrot apple sandwich (Gajar aur seb ka sandwich),214.11,5.3,0,0,0,0,0,0,0,0,100 g,32,,,
680534f0d035d501d3d0fb21,https://drive.google.com/uc?id=1vJDfkUJO6CBKwFFn2HvwwJMQ6Uh5d-ws,Salami sandwich,255.59,8.7,0,0,0,0,0,0,0,0,100 g,33,,,
680534f0d035d501d3d0fb22,https://drive.google.com/uc?id=1l4LzXsCrY1WtmhGhzwkzBLeGisOKPjSE,Vegetable and mayonnaise sandwich,244.26,4.47,0,0,0,0,0,0,0,0,100 g,34,,,
680534f0d035d501d3d0fb23,https://drive.google.com/uc?id=1si7skzM8HI4Uiux5LNayoI77oT6sfUBY,Egg and tomato sandwich (Ande aur tamatar ka sandwich),222.11,7.66,0,0,0,0,0,0,0,0,100 g,35,,,
680534f0d035d501d3d0fb24,https://drive.google.com/uc?id=1mnn8SMSZYetDcP1DYRhKKuWLXWKeizYf,Sweet open sandwich,244.25,4.99,0,0,0,0,0,0,0,0,100 g,36,,,
680534f0d035d501d3d0fb25,https://drive.google.com/uc?id=1KVGuvGhDHu5M3NNqQ3YbkCrsE9687Xhf,Mushroom and cheese sandwich (toasted),227.42,7.79,0,0,0,0,0,0,0,0,100 g,37,,,
680534f0d035d501d3d0fb26,https://drive.google.com/uc?id=1_qaKt6FQnDG_WY4bVCxqGkymi-6-J50f,Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),224.58,6.82,0,0,0,0,0,0,0,0,100 g,38,,,
680534f0d035d501d3d0fb27,https://drive.google.com/uc?id=1SM6gyvvfrx9PkoMA_SQsKwKdqDc4-aCJ,Pea potato sandwich (toasted) (Matar aloo ka sandwich),164.9,4.6,0,0,0,0,0,0,0,0,100 g,39,,,
680534f0d035d501d3d0fb28,https://drive.google.com/uc?id=1WXD_Orr0yPyn6ugK-0W-MjF5bg_dI5fZ,Paneer pea sandwich (toasted) (Paneer matar ka sandwich),249.56,12.4,0,0,0,0,0,0,0,0,100 g,40,,,
680534f0d035d501d3d0fb29,https://drive.google.com/uc?id=1qV5om5yKPuFR1JeEvu2tAQqxdyhBLKYV,Chicken sandwich (toasted),167.37,12.08,0,0,0,0,0,0,0,0,100 g,41,,,
680534f0d035d501d3d0fb2a,https://drive.google.com/uc?id=1agSBlRy_ZM4Y6tn_JWTPWzRRlkA83M3j,Pea keema sandwich (toasted) (Matar aur keema ka sandwich),171.78,11.06,0,0,0,0,0,0,0,0,100 g,42,,,
680534f0d035d501d3d0fb2b,https://drive.google.com/uc?id=1WQshTdlHdBpQQ83Tf_8QtFQnsl3VKDRs,Classic club sandwich,200.83,6.74,0,0,0,0,0,0,0,0,100 g,43,,,
680534f0d035d501d3d0fb2c,https://drive.google.com/uc?id=172rzI76dRzbYxnDtX3WEowM6-DPmtIm8,Sesame toast,495.19,1.9,0,0,0,0,0,0,0,0,100 g,44,,,
680534f0d035d501d3d0fb2d,https://drive.google.com/uc?id=1TPQ45bU0Z_eEgGAeVPM3mYUHbQ17WNUf,Cracked wheat porridge (Meetha daliya),81.57,2.64,0,0,0,0,0,0,0,0,100 g,45,,,
680534f0d035d501d3d0fb2e,https://drive.google.com/uc?id=1uCdG_LChNgRkYUZASgUq_-IMgoHE0rZX,Semolina porridge (Suji/Rava daliya),100.89,3.75,0,0,0,0,0,0,0,0,100 g,46,,,
680534f0d035d501d3d0fb2f,https://drive.google.com/uc?id=1zgnl12yRPwm8Mz4SNAlgGASmijgfwBcC,Oatmeal Porridge,72.85,2.6,0,0,0,0,0,0,0,0,100 g,47,,,
680534f0d035d501d3d0fb30,https://drive.google.com/uc?id=1Q9IiJ23obkhhVwCaB8QcpVYcCSVIZ__I,Cornflakes with milk,117.33,3.59,0,0,0,0,0,0,0,0,100 g,48,,,
680534f0d035d501d3d0fb31,https://drive.google.com/uc?id=1T8VqvJ18Frb-tdSZUth_U9QUtqlXIbW8,Rice flakes (Chiwda/Aval),112.44,3.62,0,0,0,0,0,0,0,0,100 g,49,,,
680534f0d035d501d3d0fb32,https://drive.google.com/uc?id=13-Qlo6Gf72h_HTbgfJoKurv_xEW3xF5A,Wheat flakes,112.44,3.62,0,0,0,0,0,0,0,0,100 g,50,,,
680534f0d035d501d3d0fb33,https://drive.google.com/uc?id=1WwIUGtZC_1yyGLSVQpAm_31r5ZCACe-k,Murmura (Puffed rice),113.32,3.62,0,0,0,0,0,0,0,0,100 g,51,,,
680534f0d035d501d3d0fb34,https://drive.google.com/uc?id=1zaDdT7_cg2LUlJNpVcaPkVE8T-_O8yPz,Puffed wheat (Murmure/Moori),113.32,3.62,0,0,0,0,0,0,0,0,100 g,52,,,
680534f0d035d501d3d0fb35,https://drive.google.com/uc?id=1awoQZVRSUaqZjDUWf5OTM7BXF9WiQLq3,Boiled egg (Ubla anda),45.35,4.43,0,0,0,0,0,0,0,0,100 g,53,,,
680534f0d035d501d3d0fb36,https://drive.google.com/uc?id=1N-FU_eY3_XlfCCp3arDgha1xuLVAR86V,Fried Egg,223.67,11.59,0,0,0,0,0,0,0,0,100 g,54,,,
680534f0d035d501d3d0fb37,https://drive.google.com/uc?id=1MjCAmfNjUY6R51NVFJuLyLEVpmkj7m-k,Poached egg,123.87,11.98,0,0,0,0,0,0,0,0,100 g,55,,,
680534f0d035d501d3d0fb38,https://drive.google.com/uc?id=1kHbe4M8Y8v1ZXwrsQ66y-1LQ3kkaMhzy,Scrambled egg (Ande ki bhurji),155.97,10.29,0,0,0,0,0,0,0,0,100 g,56,,,
680534f0d035d501d3d0fb39,https://drive.google.com/uc?id=1zbNyp25yZiEH9Hr5cVzWzIqM5ou_KJ_n,Baked egg,218.85,11.88,0,0,0,0,0,0,0,0,100 g,57,,,
680534f0d035d501d3d0fb3a,https://drive.google.com/uc?id=1QuNbosWLJ3YwC_fGB4AfVovDoTjZbb5c,Plain omelette/omlet,272.41,9.66,0,0,0,0,0,0,0,0,100 g,58,,,
680534f0d035d501d3d0fb3b,https://drive.google.com/uc?id=10o3QFpgqZad7TmiTHF2w48ZCc_wKfDRG,Stuffed egg omelette/omlet,203.51,8.6,0,0,0,0,0,0,0,0,100 g,59,,,
680534f0d035d501d3d0fb3c,https://drive.google.com/uc?id=1jlPxOu1Ck9I84zXx1K58OI3vfrjfCd9T,Pancake,203.36,5.68,0,0,0,0,0,0,0,0,100 g,60,,,
680534f0d035d501d3d0fb3d,https://drive.google.com/uc?id=108OBazDzikZpgkBT2P2I57lTN2Z3Y43c,Keema pancake,176.27,9.01,0,0,0,0,0,0,0,0,100 g,61,,,
680534f0d035d501d3d0fb3e,https://drive.google.com/uc?id=1eqdzgCxlEgjoM9ttiqYTbi70ACg2HITr,Vegetable pancake,125.18,3.87,0,0,0,0,0,0,0,0,100 g,62,,,
680534f0d035d501d3d0fb3f,https://drive.google.com/uc?id=1GaccNgoccVD86X1KLUkre-U48ExJ1uLQ,Jam and fruit pancake,162.02,3.79,0,0,0,0,0,0,0,0,100 g,63,,,
680534f0d035d501d3d0fb40,https://drive.google.com/uc?id=1SeICSTkyxbJofskInZHkc_0p6cQpzlDW,Khoa and coconut pancake,271.98,6.98,0,0,0,0,0,0,0,0,100 g,64,,,
680534f0d035d501d3d0fb41,https://drive.google.com/uc?id=1sgekd4kvceAowF5F8lv8JYn30aRkBadQ,Brown stock,21.32,1.95,0,0,0,0,0,0,0,0,100 g,65,,,
680534f0d035d501d3d0fb42,https://drive.google.com/uc?id=1Ihx9EfpCu3_W1L6BJtulN04u8QOn8jCR,Vegetable stock,17.6,0.3,0,0,0,0,0,0,0,0,100 g,66,,,
680534f0d035d501d3d0fb43,https://drive.google.com/uc?id=1yZuk__5t3Y8G7U2L-GsRa2ZAbJxe_GvF,Chicken stock,29.88,3.69,0,0,0,0,0,0,0,0,100 g,67,,,
680534f0d035d501d3d0fb44,https://drive.google.com/uc?id=121G9OJU5GPAxkDxFJsVSIXizGOISJ_Iv,Clear tomato soup (Tamatar ka soup),80.07,4.79,0,0,0,0,0,0,0,0,100 g,68,,,
680534f0d035d501d3d0fb45,https://drive.google.com/uc?id=1qzw8TAAem4W3ldo2txUqLcRiJAZ5bL43,Lentil soup,31.17,9.65,0,0,0,0,0,0,0,0,100 g,69,,,
680534f0d035d501d3d0fb46,https://drive.google.com/uc?id=1D2w6sbmZvr0nTIVhvu7zEfAlW8cjUJtE,Chicken consomme (Clear chicken soup),47.94,11.47,0,0,0,0,0,0,0,0,100 g,70,,,
680534f0d035d501d3d0fb47,https://drive.google.com/uc?id=1P25PaXh45wFQuSoXdFA46XNMCl8HXVPb,Cream of tomato soup,97.81,4.61,0,0,0,0,0,0,0,0,100 g,71,,,
680534f0d035d501d3d0fb48,https://drive.google.com/uc?id=1C7ChVeiDn49CpB0MH_utD6iBgASWd4nH,Cream of green peas soup,127.84,7.13,0,0,0,0,0,0,0,0,100 g,72,,,
680534f0d035d501d3d0fb49,https://drive.google.com/uc?id=1PZyp-4Oeu9JJiADk2KnsTdmqr6XOlBqk,Cream of spinach soup,100.54,5.21,0,0,0,0,0,0,0,0,100 g,73,,,
680534f0d035d501d3d0fb4a,https://drive.google.com/uc?id=1yFcpKqgKU_4qV2uLdJ3HSfEIKB350eRZ,Cream of mixed vegetable soup,59.65,6.84,0,0,0,0,0,0,0,0,100 g,74,,,
680534f0d035d501d3d0fb4b,https://drive.google.com/uc?id=1MMVC7kEjEDtwN7SCokmZ4R5YGuSe512u,Cream of mushroom soup,117.28,6.64,0,0,0,0,0,0,0,0,100 g,75,,,
680534f0d035d501d3d0fb4c,https://drive.google.com/uc?id=1Bliu8uTnH-gJaKHcx_VkMH0_ZCdCdYLQ,Chicken sweet corn soup,28.32,14.48,0,0,0,0,0,0,0,0,100 g,76,,,
680534f0d035d501d3d0fb4d,https://drive.google.com/uc?id=183J0H1tMcZTt2xFKBqu9vAVT9khRcQS8,Minestrone soup,42.66,9.3,0,0,0,0,0,0,0,0,100 g,77,,,
680534f0d035d501d3d0fb4e,https://drive.google.com/uc?id=1Fl0kJQY1SrqKqBC1UdaBoSFF7kvIVHD8,Egg drop soup,26.64,12.93,0,0,0,0,0,0,0,0,100 g,78,,,
680534f0d035d501d3d0fb4f,https://drive.google.com/uc?id=1RGWOAj1aqG0nB0VuL6wWzHzwiqEaPAyF,Chinese cabbage and meat ball soup,484.31,5.21,0,0,0,0,0,0,0,0,100 g,79,,,
680534f0d035d501d3d0fb50,https://drive.google.com/uc?id=10MzvRgAGelrI4D78PYuxCfBzpywlHVDx,French onion soup,55.61,11.41,0,0,0,0,0,0,0,0,100 g,80,,,
680534f0d035d501d3d0fb51,https://drive.google.com/uc?id=12BC1REtfcKp09lMvkdFDCRarUqlj8CoH,Hot and sour soup,31.51,3.12,0,0,0,0,0,0,0,0,100 g,81,,,
680534f0d035d501d3d0fb52,https://drive.google.com/uc?id=1ZHzHjGjgRR9_4-yNc6V5MCE3xyvWHNLC,Talaumein soup,35.63,10.12,0,0,0,0,0,0,0,0,100 g,82,,,
680534f0d035d501d3d0fb53,https://drive.google.com/uc?id=10hWvUN6DzctfjYOHgqj8K54nimLtLMo6,Cold cucumber soup (Thanda kheere ka soup),48.03,2.99,0,0,0,0,0,0,0,0,100 g,83,,,
680534f0d035d501d3d0fb54,https://drive.google.com/uc?id=1hPcwBEH0M5FZ8_gb3LRKLa016ztlVWP2,Cold summer garden soup,49.19,8.57,0,0,0,0,0,0,0,0,100 g,84,,,
