_id,DishName,Calories,Protein,Carbohydrates,Fat,Fiber,Sodium,Iron,Calcium,Sugar,__v,nutritionId,selected,type,time
680534f0d035d501d3d0fb38,Scrambled egg (Ande ki bhurji),155.97,10.29,0,,,,,,,0,56,,,
680534f0d035d501d3d0fb39,Baked egg ,218.85,11.88,0,,,,,,,0,57,,,
680534f0d035d501d3d0fb3a,Plain omelette/omlet,272.41,9.66,0,,,,,,,0,58,,,
680534f0d035d501d3d0fb3b,Stuffed egg omelette/omlet,203.51,8.6,0,,,,,,,0,59,,,
680534f0d035d501d3d0fb3c,Pancake,203.36,5.68,0,,,,,,,0,60,,,
680534f0d035d501d3d0fb3d,Keema pancake,176.27,9.01,0,,,,,,,0,61,,,
680534f0d035d501d3d0fb3e,Vegetable pancake,125.18,3.87,0,,,,,,,0,62,,,
680534f0d035d501d3d0fb3f,Jam and fruit pancake,162.02,3.79,0,,,,,,,0,63,,,
680534f0d035d501d3d0fb40,Khoa and coconut pancake,271.98,6.98,0,,,,,,,0,64,,,
680534f0d035d501d3d0fb41,Brown stock,21.32,1.95,0,,,,,,,0,65,,,
680534f0d035d501d3d0fb42,Vegetable stock,17.6,0.3,0,,,,,,,0,66,,,
680534f0d035d501d3d0fb43,Chicken stock,29.88,3.69,0,,,,,,,0,67,,,
680534f0d035d501d3d0fb44,Clear tomato soup (Tamatar ka soup),80.07,4.79,0,,,,,,,0,68,,,
680534f0d035d501d3d0fb45,Lentil soup,31.17,9.65,0,,,,,,,0,69,,,
680534f0d035d501d3d0fb46,Chicken consomme (Clear chicken soup),47.94,11.47,0,,,,,,,0,70,,,
680534f0d035d501d3d0fb47,Cream of tomato soup,97.81,4.61,0,,,,,,,0,71,,,
680534f0d035d501d3d0fb48,Cream of green peas soup,127.84,7.13,0,,,,,,,0,72,,,
680534f0d035d501d3d0fb49,Cream of spinach soup,100.54,5.21,0,,,,,,,0,73,,,
680534f0d035d501d3d0fb4a,Cream of mixed vegetable soup,59.65,6.84,0,,,,,,,0,74,,,
680534f0d035d501d3d0fb4b,Cream of mushroom soup,117.28,6.64,0,,,,,,,0,75,,,
680534f0d035d501d3d0fb4c,Chicken sweet corn soup,28.32,14.48,0,,,,,,,0,76,,,
680534f0d035d501d3d0fb4d,Minestrone soup,42.66,9.3,0,,,,,,,0,77,,,
