_id,selected,DishName,DishImage,isSaved,Calories,Protein,Fats,Carbohydrates,Sodium,Calcium,Iron,QuantityRequired,type,time,__v
680534f0d035d501d3d0fb04,Not Selected,Raw mango drink (Aam panna),https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/raw%20mango%20drink%20(aam%20panna).png,false,35.92,0.16,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fb0a,Not Selected,Coco pine cooler,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/coco%20pine%20cooler.png,true,32.75,0.56,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fb16,Not Selected,Egg sandwich (Ande ka sandwich),https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/egg%20sandwich%20(ande%20ka%20sandwich).png,true,285.96,8.69,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fb1b,Not Selected,Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/peanut%20and%20tomato%20sandwich%20(moongfali%20aur%20tamatar%20ka%20sandwich).png,false,291.43,9.53,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fb38,Not Selected,Scrambled egg (Ande ki bhurji),https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/scrambled%20egg%20(ande%20ki%20bhurji).png,false,155.97,10.29,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fb3e,Not Selected,Vegetable pancake,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/vegetable%20pancake.png,false,125.18,3.87,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fb3f,Not Selected,Jam and fruit pancake,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/jam%20and%20fruit%20pancake.png,false,162.02,3.79,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fb54,Not Selected,Cold summer garden soup,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/cold%20summer%20garden%20soup.png,true,49.19,8.57,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fb7d,Not Selected,Pasta hot pot,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/pasta%20hot%20pot.png,false,125.17,5.84,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fb99,Not Selected,Khatta channa,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/khatta%20channa.png,false,202.57,6.3,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fbbc,Not Selected,Spinach paneer kofta curry (Palak paneer kofta curry),https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/spinach%20paneer%20kofta%20curry%20(palak%20paneer%20kofta%20curry).png,false,606.03,1.43,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fbcb,Not Selected,Shahi paneer,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/shahi%20paneer.png,false,156.5,5.06,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fbdd,Not Selected,Chicken curry,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/chicken%20curry.png,false,129.22,11.79,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fbe6,Not Selected,Tomato fish,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/tomato%20fish.png,false,489.79,2.39,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fc06,Not Selected,Vermicelli kheer (Semiya/Seviyan ki kheer),https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/vermicelli%20kheer%20(semiya/seviyan%20ki%20kheer).png,false,120.07,3.35,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fc33,Not Selected,Hot orange souffle,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/hot%20orange%20souffle.png,false,179.97,6.87,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fc49,Not Selected,Mixed vegetable pakora/pakoda,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/mixed%20vegetable%20pakora/pakoda.png,false,673.81,1.94,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fc4e,Not Selected,Paneer pakora/pakoda,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/paneer%20pakora/pakoda.png,false,718.12,3.27,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fc5e,Not Selected,Vegetable seekh kebab,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/vegetable%20seekh%20kebab.png,false,690.73,1.57,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fc72,Not Selected,Lemon meringue pie,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/lemon%20meringue%20pie.png,false,224.43,3.88,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fc87,Not Selected,Eggless cake,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/eggless%20cake.png,false,318.08,8.12,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fc88,Not Selected,Swiss roll,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/swiss%20roll.png,false,251.87,7.3,0,0,0,0,0,100 g,Breakfast,Morning,0
680534f0d035d501d3d0fc98,Not Selected,Ginger bread man,https://pmxylbawxioitqbyntvi.supabase.co/storage/v1/object/public/meals/ginger%20bread%20man.png,false,365,6.61,0,0,0,0,0,100 g,Breakfast,Morning,0
